TIME,GEO,UNIT,INDIC_NRG,Value,Flag and Footnotes
2004M02,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,479.02
2004M02,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M02,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,482.08
2004M02,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M03,Slovenija,Number,Heating degree days,438.67
2004M03,Slovenija,Number,Cooling degree days,0.00
2004M03,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,441.00
2004M03,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M03,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,435.14
2004M03,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M04,Slovenija,Number,Heating degree days,240.12
2004M04,Slovenija,Number,Cooling degree days,0.00
2004M04,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,236.30
2004M04,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M04,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,245.93
2004M04,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M05,Slovenija,Number,Heating degree days,154.09
2004M05,Slovenija,Number,Cooling degree days,0.00
2004M05,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,151.81
2004M05,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M05,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,157.54
2004M05,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M06,Slovenija,Number,Heating degree days,23.60
2004M06,Slovenija,Number,Cooling degree days,1.03
2004M06,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,22.85
2004M06,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,0.79
2004M06,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,24.75
2004M06,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,1.38
2004M07,Slovenija,Number,Heating degree days,13.92
2004M07,Slovenija,Number,Cooling degree days,8.79
2004M07,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,12.21
2004M07,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,7.53
2004M07,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,16.52
2004M07,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,10.69
2004M08,Slovenija,Number,Heating degree days,2.22
2004M08,Slovenija,Number,Cooling degree days,5.25
2004M08,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,1.77
2004M08,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,5.39
2004M08,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,2.89
2004M08,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,5.04
2004M09,Slovenija,Number,Heating degree days,71.29
2004M09,Slovenija,Number,Cooling degree days,0.04
2004M09,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,72.95
2004M09,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M09,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,68.76
2004M09,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,0.11
2004M10,Slovenija,Number,Heating degree days,151.44
2004M10,Slovenija,Number,Cooling degree days,0.00
2004M10,Vzhodna Slovenija (NUTS 2010),Number,Heating degree days,152.72
2004M10,Vzhodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
2004M10,Zahodna Slovenija (NUTS 2010),Number,Heating degree days,149.49
2004M10,Zahodna Slovenija (NUTS 2010),Number,Cooling degree days,0.00
