"Primerjava cen za zemeljski plin in električno energijo za izbrane porabnike (%), Slovenija in EU, polletno"
"ENERGENTI-EU PRIMERJAVA-MERITVE";"2007H2";"2008H1";"2008H2";"2009H1";"2009H2";"2010H1";"2010H2";"2011H1";"2011H2";"2012H1";"2012H2";"2013H1";"2013H2";"2014H1";"2014H2";"2015H1";"2015H2";"2016H1";"2016H2";"2017H1";"2017H2";"2018H1"
"Zemeljski plin-Negospodinjski odjemalci-Navadno povprečje v EU=100%-Brez DDV";110;107;116;122;115;133;121;124;131;138;127;117;115;109;114;100;113;111;111;104;107;100
"Električna energija-Negospodinjski odjemalci-Navadno povprečje v EU=100%-Brez DDV";100;100;95;109;95;101;97;93;88;84;82;85;84;78;77;78;83;83;82;79;78;85
