"Primerjava cen za zemeljski plin in električno energijo za izbrane porabnike (%), Slovenija in EU, polletno"
"ENERGENTI-EU-PRIMERJAVA-MERITVE";"2007H2";"2008H1";"2008H2";"2009H1";"2009H2";"2010H1";"2010H2";"2011H1";"2011H2";"2012H1";"2012H2";"2013H1";"2013H2";"2014H1";"2014H2";"2015H1";"2015H2";"2016H1";"2016H2";"2017H1";"2017H2";"2018H1"
"Zemeljski plin-Gospodinjski odjemalci-Navadno povprečje v EU=100%-Z vsemi davki";99;106;118;114;102;108;116;114;124;123;103;101;103;104;95;101;96;103;97;99;91;97
"Električna energija-Gospodinjski odjemalci-Navadno povprečje v EU=100%-Z vsemi davki";79;82;75;89;88;90;89;87;87;88;86;88;91;91;92;89;91;92;92;91;91;90
